,timestamp,altitude,callsign,geoaltitude,groundspeed,icao24,lastseen,latitude,longitude,onground,origin,track,vertical_rate,distance,flight_id,runway,initial_bearing,initial_flow,simple,track_unwrapped,x,y,timedelta,cluster,navpoints
69055,2019-10-04 10:09:58+00:00,10075.0,AFL2390,10249.999999999998,256.84603561863327,4242b4,2019-10-04 10:25:57+00:00,47.86687301377118,8.551729642427883,False,UUEE,202.6713436219808,-703.9999999999999,24.14314214351236,AFL2390_345,14,189.45382929122846,162-216,True,202.6713436219808,466473.5606498064,5301704.454125355,222.0,15,"ZH109,ZH305,IKL"
69056,2019-10-04 10:10:03+00:00,10025.0,AFL2390,10149.999999999998,254.23195771073023,4242b4,2019-10-04 10:25:57+00:00,47.86198502880032,8.548771784855768,False,UUEE,202.429168655319,-767.9999999999999,23.849466117335716,AFL2390_345,14,189.45382929122846,162-216,True,202.429168655319,466249.1680665378,5301162.4585995935,227.0,15,"ZH109,ZH305,IKL"
69057,2019-10-04 10:10:07+00:00,9975.0,AFL2390,10125.0,252.00176640687584,4242b4,2019-10-04 10:25:57+00:00,47.857050491591636,8.545743502103365,False,UUEE,202.39250193704981,-703.9999999999999,23.55361767013419,AFL2390_345,14,189.45382929122846,162-216,True,202.39250193704981,466019.43559961364,5300615.328898566,231.0,15,"ZH109,ZH305,IKL"
69058,2019-10-04 10:10:11+00:00,9924.999999999998,AFL2390,10075.0,249.7716801514178,4242b4,2019-10-04 10:25:57+00:00,47.85273742675781,8.543106079101562,False,UUEE,202.35518044573558,-703.9999999999999,23.295564394907554,AFL2390_345,14,189.45382929122846,162-216,True,202.35518044573558,465819.3097002967,5300137.110078016,235.0,15,"ZH109,ZH305,IKL"
69059,2019-10-04 10:10:15+00:00,9875.0,AFL2390,10049.999999999998,247.9231610707121,4242b4,2019-10-04 10:25:57+00:00,47.849555581302965,8.541165865384615,False,UUEE,202.5309792304654,-640.0,23.10551995664295,AFL2390_345,14,189.45382929122846,162-216,True,202.5309792304654,465672.06090854615,5299784.319379706,239.0,15,"ZH109,ZH305,IKL"
69060,2019-10-04 10:10:19+00:00,9850.0,AFL2390,10000.0,246.23747731529923,4242b4,2019-10-04 10:25:57+00:00,47.8447265625,8.538230895996094,False,UUEE,202.19028889612255,-640.0,22.81763632691809,AFL2390_345,14,189.45382929122846,162-216,True,202.19028889612255,465449.27299688343,5299248.899540871,243.0,15,"ZH109,ZH305,IKL"
69061,2019-10-04 10:10:23+00:00,9800.0,AFL2390,9950.0,243.63271011781885,4242b4,2019-10-04 10:25:57+00:00,47.84065246582031,8.535758972167969,False,UUEE,201.932420948982,-640.0,22.57528276368729,AFL2390_345,14,189.45382929122846,162-216,True,201.932420948982,465261.59792414703,5298797.187039091,247.0,15,"ZH109,ZH305,IKL"
69062,2019-10-04 10:10:27+00:00,9762.5,AFL2390,9924.999999999998,241.40401675856788,4242b4,2019-10-04 10:25:57+00:00,47.83641815185547,8.533218383789062,False,UUEE,201.88955676990466,-640.0,22.323894529705424,AFL2390_345,14,189.45382929122846,162-216,True,201.88955676990466,465068.6480843862,5298327.704305499,251.0,15,"ZH109,ZH305,IKL"
69063,2019-10-04 10:10:31+00:00,9724.999999999998,AFL2390,9875.0,239.17546102748523,4242b4,2019-10-04 10:25:57+00:00,47.83209228515625,8.530677795410156,False,UUEE,201.8458937782777,-640.0,22.067559583691843,AFL2390_345,14,189.45382929122846,162-216,True,201.8458937782777,464875.6057251485,5297848.052479563,255.0,15,"ZH109,ZH305,IKL"
69064,2019-10-04 10:10:35+00:00,9675.0,AFL2390,9824.999999999998,236.9470468078693,4242b4,2019-10-04 10:25:57+00:00,47.828234656382406,8.528418907752402,False,UUEE,201.80140948635182,-640.0,21.839438376253387,AFL2390_345,14,189.45382929122846,162-216,True,201.80140948635182,464703.9338169719,5297420.321390664,259.0,15,"ZH109,ZH305,IKL"
